Model,Stop Loss,R:R Ratio,Signals,Win Rate (TP %),Loss Rate (SL %)
Velas Tradicionais,Curto (Vela 2),1:1.5,171,35.09,64.91
Velas Heikin Ashi,Curto (Vela 2),1:1.5,121,36.36,63.64
Velas Tradicionais,Curto (Vela 2),1:2.0,171,29.82,70.18
Velas Heikin Ashi,Curto (Vela 2),1:2.0,121,32.23,67.77
Velas Tradicionais,Curto (Vela 2),1:3.0,171,23.39,76.61
Velas Heikin Ashi,Curto (Vela 2),1:3.0,121,23.97,76.03
Velas Tradicionais,Estrutural (Vela 1),1:1.5,171,39.18,60.82
Velas Heikin Ashi,Estrutural (Vela 1),1:1.5,121,37.19,62.81
Velas Tradicionais,Estrutural (Vela 1),1:2.0,171,32.75,67.25
Velas Heikin Ashi,Estrutural (Vela 1),1:2.0,121,31.4,68.6
Velas Tradicionais,Estrutural (Vela 1),1:3.0,171,25.73,74.27
Velas Heikin Ashi,Estrutural (Vela 1),1:3.0,121,23.14,76.86
